epoch,train_loss_norm,valid_component_mae_eVA,valid_component_rmse_eVA,valid_vector_mae_eVA,valid_vector_rmse_eVA
1,1.0089379332282327,0.26925185322761536,0.344683438539505,0.539783775806427,0.5970092415809631
2,0.9989935846039744,0.26910555362701416,0.3440399765968323,0.5387352108955383,0.5958946943283081
3,0.9946834535309763,0.26942259073257446,0.3440609872341156,0.5391289591789246,0.5959311127662659
4,0.992203925595139,0.2687804102897644,0.3433242440223694,0.5380803942680359,0.5946550369262695
5,0.9898476672895027,0.26844412088394165,0.34285202622413635,0.5375924706459045,0.5938371419906616
6,0.9883237752047452,0.26792117953300476,0.3426609933376312,0.536827802658081,0.5935062766075134
7,0.9834882815678915,0.26742294430732727,0.34159964323043823,0.5355640649795532,0.591667890548706
8,0.9793820652094755,0.267718106508255,0.34205543994903564,0.536681056022644,0.5924574136734009
9,0.9751252080454971,0.26611053943634033,0.33981671929359436,0.5334778428077698,0.5885798335075378
10,0.9654264377825188,0.26546406745910645,0.3391258716583252,0.5323987603187561,0.5873832702636719
11,0.9645423473733844,0.2654414772987366,0.3396187424659729,0.5325976014137268,0.588236927986145
12,0.9556383328004316,0.2632635831832886,0.3366225063800812,0.5280071496963501,0.5830472111701965
13,0.9383100180914907,0.2625608742237091,0.3347373604774475,0.5259590148925781,0.5797820687294006
14,0.9247893438194738,0.26187947392463684,0.33422622084617615,0.5240741968154907,0.5788968205451965
15,0.9196305202715325,0.2605940103530884,0.33229494094848633,0.5221084952354431,0.5755517482757568
16,0.8988082625649192,0.26235148310661316,0.3344513177871704,0.5254895091056824,0.5792866945266724
17,0.8944512063806708,0.25911375880241394,0.3303028643131256,0.5185267329216003,0.5721012949943542
18,0.8689459995789961,0.25779077410697937,0.32850027084350586,0.5164157748222351,0.5689791440963745
19,0.8468393033201044,0.25857675075531006,0.3298805356025696,0.516909658908844,0.5713698863983154
20,0.8397311929500464,0.25711506605148315,0.3270130157470703,0.5136004090309143,0.5664032101631165
21,0.8159709536668026,0.2562982738018036,0.3253803551197052,0.5113091468811035,0.5635753273963928
22,0.8067678845289982,0.259032279253006,0.32876056432724,0.5158696174621582,0.5694299936294556
23,0.7948825088414279,0.25328460335731506,0.3212048411369324,0.5052470564842224,0.556343138217926
24,0.7598089828635707,0.251372754573822,0.3176032602787018,0.5010550022125244,0.5501050353050232
25,0.7477111256483829,0.2489320933818817,0.3171517848968506,0.49855077266693115,0.5493230223655701
26,0.7324536930431019,0.250301331281662,0.3182695508003235,0.4987129271030426,0.5512590408325195
27,0.7184018348202561,0.2508801817893982,0.3194262981414795,0.5002318024635315,0.5532625913619995
28,0.6986086242126696,0.24826841056346893,0.316037118434906,0.4946366846561432,0.5473923683166504
29,0.6840944416595228,0.24960777163505554,0.3173154294490814,0.4969944953918457,0.5496065020561218
30,0.686480751543334,0.24756787717342377,0.31701603531837463,0.49450960755348206,0.5490878820419312
31,0.6682156559192773,0.24602189660072327,0.3138633966445923,0.49081549048423767,0.5436273813247681
32,0.6327567786881418,0.24718092381954193,0.316396564245224,0.49366050958633423,0.5480149388313293
33,0.6269088911287712,0.2466096431016922,0.31424081325531006,0.49049779772758484,0.5442810654640198
34,0.6181954795664008,0.2432292401790619,0.31168511509895325,0.48671314120292664,0.5398544669151306
35,0.5929839683301521,0.24420933425426483,0.31399640440940857,0.48756518959999084,0.543857753276825
36,0.5909811493122217,0.24535952508449554,0.3173968195915222,0.49150577187538147,0.5497474670410156
37,0.5758128635811083,0.2473054975271225,0.31898748874664307,0.49509814381599426,0.5525025129318237
38,0.5691592277902545,0.24491922557353973,0.31598779559135437,0.4891899526119232,0.5473068952560425
39,0.5510116996187152,0.24041059613227844,0.3095493018627167,0.48150634765625,0.536155104637146
40,0.5290541703050787,0.2408718764781952,0.3092094957828522,0.47994011640548706,0.535566508769989
