epoch,train_loss_norm,valid_mae_eV,valid_rmse_eV
1,4180.134066148238,1.6403087377548218,1.8073416948318481
2,74.19628065282649,0.99959796667099,1.0934666395187378
3,141.88000904430044,9.023176193237305,9.069219589233398
4,37.32121269630663,2.0137107372283936,2.211137533187866
5,8.847489096901633,0.7400341033935547,1.0904287099838257
6,5.883229645815763,1.0067031383514404,1.3553975820541382
7,1.952178095326279,2.6351969242095947,2.7829809188842773
8,5.319165830359315,0.8523245453834534,0.9373857378959656
9,3.8173602349830396,1.6268556118011475,1.80581796169281
10,2.3800541993343467,1.1393654346466064,1.4176576137542725
11,3.806842955675992,0.6996517181396484,0.8141467571258545
12,2.7311290565765267,2.1975433826446533,2.346891403198242
13,7.902184220877561,4.844418048858643,4.9087395668029785
14,29.851396209645,2.1420013904571533,2.2893142700195312
15,3.220457915103797,1.4971781969070435,1.6901021003723145
16,1.8994407934616462,0.9694836735725403,1.0956017971038818
17,1.580017165704207,0.5263896584510803,0.6742638349533081
18,5.733259632731929,2.9477248191833496,3.000049352645874
19,6.6591489387281015,2.549898624420166,2.615100145339966
20,12.598095454049833,3.8982865810394287,3.9485549926757812
21,30.03949661688371,4.023264408111572,4.06960391998291
22,31.09875175447175,2.9640183448791504,3.0388569831848145
23,17.35532332911636,2.1303157806396484,2.234637498855591
24,7.426698395700166,0.8930026292800903,0.993984580039978
25,0.9693032828244296,2.0691113471984863,2.1459717750549316
26,4.374746337081447,0.809576153755188,0.9056544899940491
27,0.8951521827415987,0.9945126175880432,1.1078459024429321
28,2.725532029614304,1.9452934265136719,1.9967831373214722
29,1.8299077848593395,0.6558930277824402,0.7646591067314148
30,0.4966053303444024,0.24514968693256378,0.314860999584198
31,2.2037088387843333,2.0820624828338623,2.096466541290283
32,2.190245723182505,0.25856637954711914,0.286529541015625
33,0.5214576490900733,0.5247777700424194,0.5850703120231628
34,0.8136313051888437,0.8859718441963196,0.9575208425521851
35,0.32893027424842963,0.607655942440033,0.6636106371879578
36,0.3555050149108424,0.18757708370685577,0.21990308165550232
37,1.6303112170461453,1.4842548370361328,1.5189486742019653
38,1.7989695144422126,1.592921257019043,1.6255998611450195
39,2.004089024030801,0.8433924317359924,0.8634828925132751
40,2.2314397358533107,0.8095163702964783,0.8474889397621155
41,3.321881374626449,0.9492141008377075,0.9711688756942749
42,0.540404095342665,1.180391550064087,1.2003666162490845
43,2.1124592224756875,0.6920508146286011,0.7268822193145752
44,1.6317175008130795,0.24865971505641937,0.28856968879699707
45,1.2706852464964895,0.9478476643562317,0.9732905030250549
46,1.448434793587887,0.8635469675064087,0.8934760689735413
47,1.1587182734951829,0.21486742794513702,0.26338526606559753
48,1.231828338233754,0.24042309820652008,0.2767230272293091
49,0.19024212929335507,0.23479196429252625,0.28909969329833984
