epoch,train_loss,test_loss,test_mae_vector_norm,test_rmse_vector_norm,test_component_mae,test_cosine_mean
1,0.6215272626141086,0.05018536373972893,0.34249576926231384,0.3880155682563782,0.17168104648590088,0.6631115078926086
2,0.035595187335275114,0.03861241415143013,0.29990464448928833,0.3403486907482147,0.14996914565563202,0.6626163125038147
3,0.03218908957205713,0.03840761538594961,0.2995184063911438,0.3394449055194855,0.1498047262430191,0.6635626554489136
4,0.03211393998935819,0.03831193782389164,0.29882755875587463,0.33902183175086975,0.14943432807922363,0.6649075150489807
5,0.03188511624466628,0.03861993923783302,0.2992306053638458,0.3403818607330322,0.14960359036922455,0.6669365763664246
6,0.031704181572422385,0.03793402761220932,0.29813632369041443,0.3373456299304962,0.14914007484912872,0.6674217581748962
7,0.03162623930256814,0.03771298844367266,0.2969922721385956,0.3363613486289978,0.1485404521226883,0.669214129447937
8,0.03279192128684372,0.03757949639111757,0.296631395816803,0.3357655107975006,0.14837130904197693,0.6703867316246033
9,0.031775920768268406,0.039267515763640404,0.3011588454246521,0.3432237505912781,0.15070895850658417,0.6754474639892578
10,0.03147608845029026,0.037439337000250816,0.2948552370071411,0.33513879776000977,0.14738546311855316,0.6751151084899902
11,0.03231688844971359,0.03725420404225588,0.29408612847328186,0.3343091607093811,0.14700309932231903,0.6771015524864197
12,0.0314124240539968,0.038993073627352715,0.29997846484184265,0.34202226996421814,0.15016719698905945,0.6827408075332642
13,0.030924145015887916,0.03853876143693924,0.29820385575294495,0.3400239646434784,0.1492803394794464,0.6854363679885864
14,0.030896807205863297,0.03691878356039524,0.2922562062740326,0.3328007459640503,0.14619268476963043,0.6861308813095093
15,0.030213212710805237,0.0361865209415555,0.29199180006980896,0.3294837772846222,0.14588718116283417,0.6849365234375
16,0.0319907299708575,0.04128978680819273,0.3087884485721588,0.3519507944583893,0.15488378703594208,0.7000479698181152
17,0.03156628634314984,0.03626116644591093,0.2922203838825226,0.32982343435287476,0.14604653418064117,0.6833386421203613
18,0.03076035005506128,0.03579363226890564,0.2895190119743347,0.3276902437210083,0.1446976214647293,0.6868246793746948
19,0.031724292668513954,0.04002049379050732,0.3038407862186432,0.34649890661239624,0.1523783653974533,0.6999911665916443
20,0.03020231396658346,0.03766237199306488,0.2947181165218353,0.3361355662345886,0.14763504266738892,0.6979840397834778
21,0.030371509375981987,0.03662572428584099,0.29558899998664856,0.33147725462913513,0.14774248003959656,0.6878936290740967
22,0.031734004500322044,0.03829463943839073,0.29715877771377563,0.33894529938697815,0.14893849194049835,0.7019751667976379
23,0.029831228777766228,0.036440382711589336,0.2900792360305786,0.33063745498657227,0.14518362283706665,0.6993045210838318
24,0.02933522139210254,0.03486451134085655,0.2864680886268616,0.32340922951698303,0.14311596751213074,0.6949668526649475
25,0.02885996690019965,0.035376736894249916,0.2858666777610779,0.3257763087749481,0.14306937158107758,0.7083411812782288
26,0.02926179300993681,0.033928146585822105,0.2809605300426483,0.3190367519855499,0.14039935171604156,0.7045490145683289
27,0.02941897907294333,0.03628061432391405,0.29549723863601685,0.32991188764572144,0.14772474765777588,0.696006715297699
28,0.029032257734797895,0.035983708687126637,0.28809455037117004,0.32855916023254395,0.14435134828090668,0.7206459045410156
29,0.02983103320002556,0.035361940041184425,0.2856600880622864,0.32570818066596985,0.14301876723766327,0.7173136472702026
30,0.027992953779175878,0.0329660321585834,0.2771226465702057,0.31448066234588623,0.13847991824150085,0.7121063470840454
31,0.028986249468289316,0.039701648987829685,0.303343802690506,0.3451158404350281,0.15219011902809143,0.7452385425567627
32,0.028123279684223235,0.032412284053862095,0.2756233811378479,0.31182822585105896,0.13766522705554962,0.7128095030784607
33,0.02727545576635748,0.03345372620970011,0.2829517126083374,0.3167983293533325,0.14142993092536926,0.7110024690628052
34,0.032137425150722265,0.03625716920942068,0.2893717586994171,0.32980528473854065,0.1450052112340927,0.7382526397705078
35,0.030814971076324582,0.03418277855962515,0.2855740785598755,0.32023167610168457,0.14275383949279785,0.703485369682312
36,0.028043023427017033,0.03282293817028403,0.27596279978752136,0.3137974143028259,0.13797026872634888,0.7194305062294006
37,0.027508691302500665,0.03189312666654587,0.2736963629722595,0.3093208372592926,0.1367134004831314,0.7170264720916748
38,0.026325283164624125,0.03259585425257683,0.274452805519104,0.3127100467681885,0.13737817108631134,0.7401126027107239
39,0.026902093086391687,0.03521944675594568,0.28548943996429443,0.32505127787590027,0.14308051764965057,0.7598526477813721
40,0.026247191708534956,0.03168881172314286,0.27065345644950867,0.30832844972610474,0.13547135889530182,0.7499507665634155
41,0.027818315546028316,0.0319363116286695,0.2771095931529999,0.3095301687717438,0.13846024870872498,0.7237763404846191
42,0.029003866366110742,0.032599222380667925,0.2744477689266205,0.3127261996269226,0.137441024184227,0.7519366145133972
43,0.026297860662452877,0.03116923989728093,0.2684789299964905,0.30579033493995667,0.13435479998588562,0.7510951161384583
44,0.025022746878676116,0.028648599982261658,0.2585109770298004,0.2931651473045349,0.12922802567481995,0.7442046999931335
45,0.029385036323219538,0.030833817552775145,0.27014562487602234,0.30414050817489624,0.1348784863948822,0.7204533815383911
46,0.028077560127712786,0.03361004218459129,0.27899667620658875,0.3175376057624817,0.1397065818309784,0.7487491369247437
47,0.026217127742711455,0.029644112568348646,0.26284918189048767,0.29821524024009705,0.13118138909339905,0.7379748821258545
48,0.025302427704446018,0.02901499718427658,0.2595910429954529,0.29503390192985535,0.1296456903219223,0.7512215971946716
49,0.02494402404408902,0.029098871164023876,0.2596341371536255,0.2954600155353546,0.12977229058742523,0.7635324001312256
50,0.023879810236394405,0.027791777160018682,0.25429514050483704,0.2887478470802307,0.12694914638996124,0.760295033454895
51,0.02338572102598846,0.028409244492650032,0.2566937804222107,0.2919378876686096,0.12826412916183472,0.7760282158851624
52,0.02487664809450507,0.026304084807634354,0.2483249455690384,0.28091323375701904,0.12393598258495331,0.7627785801887512
