frame,step,time_fs,energy_eV,temperature_K,force_rms_eV_per_A,force_max_norm_eV_per_A
0,0,0.0,-0.16222113931304172,426.55496273506463,3.2133077885939396e-15,1.0490286211310013e-14
1,5,5.0,0.0048059470502579416,414.59388640055,0.06674876809120178,0.2727748453617096
2,10,10.0,0.48404113533667736,380.27633366664526,0.132309690117836,0.5536515712738037
3,15,15.0,1.2090558710547548,328.36018274632954,0.19446289539337158,0.831047534942627
4,20,20.0,2.0731666807147153,266.48523820223284,0.24995137751102448,1.0817594528198242
5,25,25.0,2.943200609849531,204.18674641305793,0.2946501076221466,1.276302695274353
6,30,30.0,3.6841436736914446,151.1299881320394,0.3243514597415924,1.3906844854354858
7,35,35.0,4.191973900468943,114.76080646348407,0.33643901348114014,1.4071909189224243
8,40,40.0,4.421642816007287,98.30484580736766,0.3309251666069031,1.322115182876587
9,45,45.0,4.3944929755848,100.23602219628027,0.31060096621513367,1.1528197526931763
10,50,50.0,4.184151010476141,115.28544261021663,0.28075727820396423,0.9309834837913513
11,55,55.0,3.88891365176672,136.41728921526837,0.24870073795318604,0.7892588973045349
12,60,60.0,3.6020579514952944,156.95378706948554,0.22293508052825928,0.709304928779602
13,65,65.0,3.38970585618545,172.16023931929575,0.21101699769496918,0.7551558613777161
14,70,70.0,3.2800313394876923,180.01839411228974,0.21550557017326355,0.8320368528366089
15,75,75.0,3.2632243950912407,181.2293861245883,0.2319021075963974,1.0905574560165405
16,80,80.0,3.300435963840452,178.57322706994375,0.252188503742218,1.2671008110046387
17,85,85.0,3.3395526908851183,175.77976737666634,0.26952221989631653,1.3328255414962769
18,90,90.0,3.332554496446032,176.28665847161804,0.28007280826568604,1.2839925289154053
19,95,95.0,3.248157111803124,182.3337271210544,0.2824976146221161,1.1782273054122925
20,100,100.0,3.0782549575560374,194.50177495403474,0.27709123492240906,1.117126226425171
21,105,105.0,2.837219645049333,211.76256805249258,0.26529091596603394,1.0360262393951416
22,110,110.0,2.555761398743531,231.91740779612644,0.24900215864181519,0.9429241418838501
23,115,115.0,2.2738592343252675,252.10388430662448,0.23054860532283783,0.8772486448287964
24,120,120.0,2.032944502719242,269.35537504069623,0.21282945573329926,0.7570804953575134
25,125,125.0,1.8687485235674277,281.1131461413757,0.19899365305900574,0.6867800354957581
26,130,130.0,1.8062511356784574,285.58827745723806,0.19183629751205444,0.6106065511703491
27,135,135.0,1.8566269770485118,281.9805954265879,0.19295719265937805,0.6148448586463928
28,140,140.0,2.0154797195671046,270.6051837609847,0.20189893245697021,0.7575531601905823
29,145,145.0,2.262704990533046,252.9014903795631,0.2163466215133667,0.8832897543907166
