frame,step,time_fs,energy_eV,temperature_K,force_rms_eV_per_A,force_max_norm_eV_per_A
64,320,320.0,3.439160447081213,168.64524159371075,0.26030078530311584,0.9547728300094604
65,325,325.0,3.486332162686474,165.26600933449373,0.26058515906333923,0.8390729427337646
66,330,330.0,3.4906872700318248,164.95417052188597,0.2610389292240143,0.763770341873169
67,335,335.0,3.4512806644873946,167.77755483213562,0.2618398666381836,0.7587361335754395
68,340,340.0,3.3652899576697983,173.93788426787776,0.26236799359321594,0.8304252028465271
69,345,345.0,3.23027207129899,183.60938359274184,0.26141026616096497,0.8897634148597717
70,350,350.0,3.0482453065627393,196.64664627713674,0.25768640637397766,0.9150898456573486
71,355,355.0,2.8298468916856496,212.28731010182193,0.250463604927063,0.9005359411239624
72,360,360.0,2.5963658876382656,229.006555801478,0.2399701029062271,0.8679263591766357
73,365,365.0,2.3784768163869643,244.60814821346185,0.22783122956752777,0.8154357075691223
74,370,370.0,2.210466318622875,256.63783869171397,0.21711616218090057,0.8233843445777893
75,375,375.0,2.1211208314824903,263.03491036768486,0.21136173605918884,0.8382578492164612
76,380,380.0,2.1262215656633643,262.6696529744749,0.21290862560272217,0.8056511282920837
77,385,385.0,2.2241829330562455,255.65592716177346,0.22197836637496948,0.7726225256919861
78,390,390.0,2.394855293901964,243.4364120493323,0.23639419674873352,0.7994751930236816
79,395,395.0,2.6031391197141858,228.52414867147556,0.2526388168334961,0.8886869549751282
