# Training_loss     Validation loss
60.76982223510742     55.487535749162944
53.08903137207031     48.377373286655974
46.02858070373535     41.88718795776367
39.83832015991211     36.130250113351
34.2216828918457     30.987077440534318
29.33052501678467     26.444421223231725
24.873215560913085     22.367997033255442
20.947577896118165     18.747002056666783
17.501575660705566     15.61315631866455
14.448956890106201     12.816975729806083
11.785349254608155     10.416726316724505
9.478515596389771     8.29723037992205
7.5044814443588255     6.548573953764779
5.822841386795044     5.048705952508109
4.416996057033539     3.8012574229921614
3.251081195473671     2.7648041993379593
2.3586462055891753     2.003652156729783
1.6203650467842818     1.395953318104148
1.1392470622062683     0.9957927295139858
0.7740357650470105     0.7060752375982702
0.5205263444595039     0.5308326893885221
0.39372401577304117     0.44488562430654255
0.3449785834364593     0.4158399286014693
0.31594881316970713     0.4053452571055719
0.304694952006721     0.39863917590784176
0.31269869432057024     0.39968648007405655
0.30466342812753283     0.3976619107914822
0.3022720437296448     0.39739848034722464
0.3032950180042826     0.3981388768713389
0.30349052128905896     0.3978701550513506
0.3079015866354166     0.39601088162245496
0.3046078522058087     0.3966581214751516
0.3078607312776148     0.39634907426911276
0.3052676197886467     0.39532989556235926
0.30180893995799124     0.39617325666560127
0.3074158685628208     0.39847826549118637
0.31383180585937226     0.3949135392239051
0.3084547117352486     0.39482794532419313
0.3028691210760735     0.3946989141404629
0.3087797909870278     0.39472049361627015
0.30272667456189084     0.39511565145637306
0.30608367099484896     0.39392649069694535
0.3083898211993801     0.3955118181183934
0.30392769462428987     0.3934923978855035
0.2978629005793482     0.3931481777690351
0.29819952093064783     0.39278772114110844
0.3009103651077021     0.39235505115772995
0.3128972524328856     0.39491231832653284
0.30412074050749655     0.39441536779382397
0.31506781464675443     0.3924173220459904
0.30093991116867985     0.3916554642575128
0.2986687670182437     0.3909705399003412
0.29680999079719184     0.39080956446871695
0.30158684008871206     0.38919420952775646
0.2968891438888386     0.3893471210030839
0.29510267097502946     0.38869745118011323
0.2985600359272212     0.39125237551551045
0.2974990493152291     0.38762652536388487
0.2942562511842698     0.38634847749822904
0.29669182737357913     0.38849321893316563
0.2954994176980108     0.38714805400065544
0.2986345810629427     0.386731824421856
0.2957806426193565     0.38397675306935397
0.29242099533323196     0.3827712470665574
0.2958423500228673     0.3824415428430906
0.2910106385080144     0.38349226504630807
0.295806459322921     0.3848805923366204
0.29232324290089307     0.3820225477725866
0.2971107939258218     0.3826943541311526
0.2913631142140366     0.38012224160567193
0.2950890448526479     0.3780413446947932
0.29351272276369855     0.37647739817787496
0.3019338919244183     0.37611847690173555
0.29171723251231013     0.3766891442771469
0.28952171368990093     0.3767000711356689
0.2920952228712849     0.3776439882370011
0.2926741373166442     0.3785162399301823
0.2901367754966486     0.373359152631435
0.29464007072208914     0.37107407208532095
0.2907716089102905     0.37076779677798705
0.2902081658691168     0.37174330580247833
0.2874312301259488     0.3706973119239722
0.2874453096324578     0.3744293406875191
0.28272530431160703     0.37022995617007837
0.28844767979579045     0.37146231597164714
0.2871144983061822     0.3728504627880674
0.2909977761145274     0.37199879934425034
0.29046723471023145     0.37171894544839496
0.2924365768977441     0.3640717219760908
0.2818905920116231     0.36524647374504376
0.28445997571368936     0.36264067951456774
0.29236960532391093     0.36139602759586914
0.28956323403472195     0.36144934594631195
0.2870910445135087     0.35873173430029837
0.2815121511253528     0.35731898920078364
0.28276259956215655     0.3566646735583033
0.28497457613702865     0.3567012201196381
0.280250037626829     0.3560023492734347
0.28663013480138033     0.354982950192477
0.28050104104229834     0.3555771841201931
0.2872471651621163     0.35822539273483145
0.2813505300320685     0.3597908910539575
0.28402610185788946     0.3595765123079348
0.2747763155895518     0.355670057657075
0.27294893133686854     0.35009147670851753
0.276877522955765     0.3544556337510585
0.27299441378330813     0.34690761216916144
0.27378907313803214     0.3475958532653749
0.27847169628192203     0.3448109450483961
0.2804181017665542     0.3446570174502475
0.2790350317629054     0.35098007653102414
0.28069584161043165     0.3526150312562614
0.27348000375786796     0.34289348473040654
0.2699721442448208     0.34252823867635535
0.2730094203399494     0.33875869237817824
0.272903491104953     0.34195756087345736
0.27808837560471145     0.3345688696551536
0.26832451890804804     0.3344265948315816
0.2678719614219517     0.33845222100665395
0.27205846600234507     0.3334184176222022
0.2670813985937275     0.3349033772912143
0.2635131972481395     0.33293259508874534
0.2642886888819339     0.33330018140674966
0.26919675547163935     0.3306162109282533
0.2680175924987998     0.3300334678663473
0.27134742099966386     0.3320833439481378
0.2676038919412531     0.3371655871596886
0.26188079454936086     0.3279677270185338
0.2719246698428469     0.33427501977608437
0.2602746376348659     0.32829525167172896
0.2584224010858452     0.3245024919732324
0.2755933149607154     0.3173061167555196
0.2647143467035494     0.3168897351715714
0.26606874526769386     0.32170331972468247
0.26882049252279105     0.33080304166235563
0.25440890119294635     0.3204518262730614
0.26359312240267174     0.3173035462719521
0.25775134889641776     0.32397939694315675
0.2574255169928074     0.31909213835959754
0.2568499116426392     0.31359641920218045
0.26797488191266894     0.31092982940442326
0.2552432461320495     0.309385202629658
0.2582725987315644     0.3131285540429027
0.26090780193393587     0.31067885371833526
0.25393238991557154     0.3075275433033572
0.25996632462367414     0.3161611205787267
0.25044322640169414     0.3172609548013757
0.26096013786271216     0.3188091976834195
0.2515055162133649     0.3087046232041238
0.25778893779235657     0.30977329987321617
0.26164593258930835     0.3010067491571005
0.24858672349859262     0.30501379238142234
0.2607530431821942     0.3152190289318761
0.25473642763114185     0.30506718265574556
0.2600436103764514     0.29641450104203876
0.2699169815180358     0.3018230740396705
0.24681332897860556     0.3001558954752649
0.25034782813861967     0.3010339189786464
0.2446726977545768     0.29962325852829963
0.25721517338999544     0.29392814695386604
0.25051800382647343     0.2995194887709139
0.24450039065966847     0.29861261159281377
0.24528755473438651     0.2980191377407339
0.25759826586960116     0.2885205228699955
0.2504054946814722     0.2993714273430409
0.24183913744578603     0.29778021578645814
0.2546103136509555     0.28877141520102406
0.25004254301660694     0.2969118688285692
0.24459193370770663     0.2881828897848858
0.24778996351149543     0.2884020965003791
0.2440927010640735     0.28967444033644696
0.24520069076679646     0.29644995407475755
0.2395980712492019     0.29506249438743126
0.24559487660415472     0.2899313285181831
0.2539623814180959     0.2974050417292996
0.24918455789331348     0.28948464538968566
0.23772330082021653     0.29268851744044305
0.23796066542388872     0.2883389620724951
0.23837555673904717     0.2893526808412779
0.23682444030418992     0.28803799762889476
0.23885486528393812     0.29331921636393027
0.23922579359263182     0.28691783358434414
0.24001659486442806     0.29759821365587413
0.2425689111603424     0.2884791338333993
0.2366764874465298     0.28966301273820655
0.2355446310620755     0.2687713514481272
0.23645915838889778     0.2856045952399394
0.23833564978383948     0.2781108568732244
0.23221099735703318     0.27580184438452954
0.23047239381819964     0.27672429726226255
0.23572867754963225     0.2861004908835249
0.23389918479137123     0.28219714228596005
0.231860103555955     0.2789553798086542
0.23196397559251636     0.28045628890894087
0.23578107171259036     0.2641188757843338
0.23624814178096132     0.2713805822547459
0.24002134397407646     0.2933597297939871
0.23240268701454625     0.2715391093100022
0.22976902569178492     0.2731767046664442
0.22983110963366926     0.26785262957024053
0.22832841031864518     0.26752375214294133
0.2397678525619267     0.25713773989783867
0.24767789883539082     0.2750227644241282
0.22679235205985607     0.27065787866844665
0.2348484666622244     0.26248514317558147
0.2459451025421731     0.2691294335132365
0.22937901127501392     0.26423078650792114
0.23606910896720365     0.2697473234584322
0.23099970321636648     0.2674344633830645
0.2270297914367984     0.25986680275777224
0.2509745701824431     0.25651674032477395
0.2395369269666844     0.25812642554436543
0.23639753072115127     0.2629523721408467
0.22835420221555977     0.27041697960313676
0.24243324160110205     0.25496606256014537
0.2366804019693518     0.24914592171886138
0.23591185675933957     0.2675073117716238
0.23068020992446692     0.2596013009367328
0.2332509373128414     0.27862517928172437
0.2280031126877293     0.26347597304265946
0.23123479098663666     0.2549221319788038
0.2261008841076182     0.2579872749525488
0.22556847502128222     0.2621932106059311
0.2375625149445841     0.2643446504537548
0.2230867285793647     0.2658006557529526
0.22445051601156593     0.26191749930980485
0.23222700806567445     0.27733415172302295
0.2452129647298716     0.2567213381428571
0.24240654120458202     0.2492961120525641
0.2304494962777244     0.25786041012283284
0.24031259765615687     0.25510917869022315
0.22942559061571954     0.2579369109755914
0.22330185186787277     0.26654876788545934
0.22532899317680857     0.27038172176772995
0.224115189332515     0.26428314820597215
0.2268109813251067     0.26285055339602487
0.23248409781022927     0.27155110286548734
0.23483364288811573     0.2600498811142253
0.2230562952440232     0.26270709291566163
0.2286727950751083     0.2564924886391964
0.23549637790831185     0.2598364217805543
0.23071073205210268     0.2538765082509989
0.23169262408395297     0.2789969598608358
0.22811934746801854     0.25859422131907195
0.23535828578067594     0.2745627319839384
0.24547142826020718     0.24316683860628732
0.22652306083822624     0.2541949260921683
0.22382818683981895     0.2663613469339907
0.23762340483721345     0.25245263243518173
0.22954073352972046     0.2554599755343848
0.22247328042052686     0.25995030433737804
0.22281221312470734     0.27231472358107567
0.22599448282271623     0.2714323628294681
0.22110272326593985     0.25812839304230045
0.2258827589024804     0.2629108859359154
0.219848379669711     0.2544514161501346
0.22243744081817568     0.24836892489435872
0.22337449500570072     0.25801651971414685
0.239003504144639     0.27398844828296987
0.22302486595817755     0.2680631329172424
0.23192898779147073     0.2558795414598925
0.2165446686686846     0.2619601080659777
0.21779331474914215     0.2533992805983871
0.22410219648620114     0.24694844095834664
0.22097578786080704     0.24891555226141854
0.21883894909653465     0.2525193185345935
0.22231395734008402     0.25571817675206276
0.2208778206538409     0.2702599735930562
0.2161350960098207     0.2601769742156778
0.21787077113054693     0.24805032487659315
0.21898135380091843     0.2601278749560671
0.22804270036518573     0.26083236247567193
0.22625210649333893     0.27348336298018694
0.21911987512139602     0.2561697220995224
0.2258727307850495     0.2562191816479234
0.22371130480838475     0.2520805465464946
0.21995131311006844     0.2572701590168955
0.22501475163502618     0.2640928262844682
0.22439442708098795     0.2501467768223457
0.22489741431549193     0.27430976315268446
0.22106796500447673     0.25097176047607456
0.2238451618538238     0.26950525984700235
0.21796714433559827     0.2616003434439855
0.21340010095387696     0.25273623453852323
0.21738159809610808     0.254005618127329
0.21500362176215276     0.25249424470322474
0.21414203492924572     0.24906628765165806
0.2137377337133512     0.24826164666696318
0.22887874725623988     0.2677505910396576
0.22617834736593068     0.26615894053663525
0.2160851923536393     0.24903346834305143
0.21432624828536062     0.24947075199868
0.21864590445300564     0.2625294791401497
0.2166029455223179     0.25704156098488185
0.21908976871185587     0.2532704558689147
0.21450950524769724     0.26427906891331077
0.21921736892545596     0.24713954618034353
0.22096292578531573     0.2573363427737994
0.23038975436240436     0.26050407718867064
0.2229847164452076     0.23893146802272117
0.22216429238324054     0.25385268295316826
0.2079369060136378     0.2506600303043212
